hshd_num,l,age_range,marital,income_range,homeowner,hshd_composition,hh_size,children
1661,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,
2027,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,
2325,N,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,
3681,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,
4406,N,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,
4552,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,
4570,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,
4753,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,
4823,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,
4851,N,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,
1462,Y,19-24                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Renter   ,1 Adult          ,1                                                                                                                                                                                                       ,
10,Y,45-54                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Homeowner,1 Adult          ,1                                                                                                                                                                                                       ,
2017,Y,45-54                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Renter   ,1 Adult          ,1                                                                                                                                                                                                       ,
1914,N,55-64                                                                                                                                                                                                   ,Single ,100-150K                                                                                                                                                                                                ,Homeowner,1 Adult          ,1                                                                                                                                                                                                       ,
4989,N,55-64                                                                                                                                                                                                   ,Single ,100-150K                                                                                                                                                                                                ,Renter   ,1 Adult          ,1                                                                                                                                                                                                       ,
733,N,65-74                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,Homeowner,1 Adult          ,1                                                                                                                                                                                                       ,
2735,N,65-74                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,Homeowner,1 Adult          ,1                                                                                                                                                                                                       ,
3988,N,65-74                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,Homeowner,1 Adult          ,1                                                                                                                                                                                                       ,
881,Y,75+                                                                                                                                                                                                     ,Married,35-49K                                                                                                                                                                                                  ,null     ,2 Adults         ,2                                                                                                                                                                                                       ,
2306,Y,75+                                                                                                                                                                                                     ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,
2319,N,75+                                                                                                                                                                                                     ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,
