product_num,department,commodity,brand_ty,natural_organic_flag
00092520                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00092875                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00095507                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00095646                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00095778                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00097589                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00100007                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00100920                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
03670252                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
06091568                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
06374984                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
06710462                        ,NON-FOOD                  ,PET                       ,PRIVATE ,N
00100578                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00206318                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00206321                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00206424                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00306659                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00306754                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00766986                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00767145                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
01106422                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
03156302                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
04004352                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
04950380                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05283370                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05283371                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06098181                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06218373                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06656188                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06664190                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
07042252                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
04871613                        ,NON-FOOD                  ,AUTO                      ,NATIONAL,N
00630144                        ,FOOD                      ,BABY                      ,PRIVATE ,N
03745477                        ,FOOD                      ,BABY                      ,NATIONAL,N
05988583                        ,FOOD                      ,BABY                      ,NATIONAL,N
05990454                        ,FOOD                      ,BABY                      ,NATIONAL,N
06310663                        ,FOOD                      ,BABY                      ,NATIONAL,N
