basket_num,hshd_num,purchase_,product_num,spend,units,store_r,week_num,year
00000456                        ,642,20-AUG-18,03966226                        ,2.03,1,CENTRAL,33,2018
00000515                        ,10,21-AUG-18,00746765                        ,7.44,1,EAST   ,33,2018
00000881                        ,812,23-AUG-18,05795479                        ,3.49,1,CENTRAL,33,2018
00001875                        ,10,01-SEP-18,00761347                        ,5.49,1,EAST   ,34,2018
00002085                        ,2454,03-SEP-18,04718688                        ,2.04,1,CENTRAL,35,2018
00002344                        ,4587,05-SEP-18,05513749                        ,9.99,1,EAST   ,35,2018
00002346                        ,1358,04-SEP-18,00084666                        ,2.49,1,SOUTH  ,35,2018
00002742                        ,3819,08-SEP-18,00101278                        ,1.59,1,SOUTH  ,35,2018
00002752                        ,4406,08-SEP-18,00096911                        ,.79,1,CENTRAL,35,2018
00003057                        ,4851,11-SEP-18,06610583                        ,15.98,2,CENTRAL,36,2018
00003096                        ,1661,11-SEP-18,00761845                        ,1.67,1,EAST   ,36,2018
00003097                        ,1661,11-SEP-18,00512436                        ,4.79,1,EAST   ,36,2018
00003205                        ,812,11-SEP-18,00099656                        ,2.49,1,CENTRAL,36,2018
00003358                        ,4406,13-SEP-18,05080326                        ,3.39,1,CENTRAL,36,2018
00003575                        ,139,15-SEP-18,06547636                        ,3,1,EAST   ,36,2018
00004152                        ,3819,20-SEP-18,00090475                        ,.59,1,SOUTH  ,37,2018
00004533                        ,1349,23-SEP-18,00965271                        ,2.99,1,SOUTH  ,38,2018
00004556                        ,160,22-SEP-18,03158054                        ,4.19,1,EAST   ,37,2018
00004610                        ,139,23-SEP-18,06548553                        ,1.99,1,EAST   ,38,2018
00005566                        ,4552,01-OCT-18,00008553                        ,3.73,1,EAST   ,39,2018
00005808                        ,794,03-OCT-18,04987673                        ,1.99,1,CENTRAL,39,2018
00005808                        ,794,03-OCT-18,05906719                        ,12.99,1,CENTRAL,39,2018
00005940                        ,812,04-OCT-18,05147837                        ,2.99,1,CENTRAL,39,2018
00006076                        ,3274,05-OCT-18,06720269                        ,6.99,1,SOUTH  ,39,2018
00006765                        ,812,11-OCT-18,05612828                        ,2.99,1,CENTRAL,40,2018
00007045                        ,139,13-OCT-18,00143953                        ,4,2,EAST   ,40,2018
00007176                        ,2319,14-OCT-18,06630441                        ,5.99,1,WEST   ,41,2018
00007905                        ,139,20-OCT-18,00085799                        ,2.29,1,EAST   ,41,2018
00007906                        ,1661,20-OCT-18,06067888                        ,4,1,EAST   ,41,2018
00007957                        ,10,20-OCT-18,03974208                        ,1.79,1,EAST   ,41,2018
00007957                        ,10,20-OCT-18,06438701                        ,2.69,1,EAST   ,41,2018
00008756                        ,812,27-OCT-18,00099656                        ,5,2,CENTRAL,42,2018
00008952                        ,3614,27-OCT-18,04882270                        ,.99,1,SOUTH  ,42,2018
00008952                        ,3614,27-OCT-18,00207113                        ,1.09,1,SOUTH  ,42,2018
00008952                        ,3614,27-OCT-18,00008485                        ,2.55,1,SOUTH  ,42,2018
00009296                        ,794,31-OCT-18,00125606                        ,2.49,1,EAST   ,43,2018
00009296                        ,794,31-OCT-18,05619869                        ,6.99,1,EAST   ,43,2018
00009578                        ,4851,02-NOV-18,00559495                        ,2.19,1,CENTRAL,43,2018
00010509                        ,4587,09-NOV-18,05290844                        ,4.4,1,EAST   ,44,2018
00010509                        ,4587,09-NOV-18,03672244                        ,13.99,1,EAST   ,44,2018
00010628                        ,2306,10-NOV-18,00288781                        ,1.29,1,WEST   ,44,2018
00011701                        ,2319,19-NOV-18,00097650                        ,2.19,1,WEST   ,46,2018
00011761                        ,594,20-NOV-18,03792849                        ,4.38,2,CENTRAL,46,2018
00011993                        ,3819,21-NOV-18,00321554                        ,.5,1,SOUTH  ,46,2018
00011993                        ,3819,21-NOV-18,02680174                        ,2.99,1,SOUTH  ,46,2018
00012014                        ,3988,21-NOV-18,01149426                        ,25.47,3,CENTRAL,46,2018
00012149                        ,3274,22-NOV-18,02612993                        ,3.19,1,SOUTH  ,46,2018
00012776                        ,812,27-NOV-18,04004068                        ,1.99,1,CENTRAL,47,2018
00013007                        ,2319,30-NOV-18,04635305                        ,8,1,WEST   ,47,2018
00013205                        ,3819,01-DEC-18,06600373                        ,2.99,1,SOUTH  ,47,2018
00013620                        ,2337,05-DEC-18,05295704                        ,1.49,1,CENTRAL,48,2018
00015236                        ,2319,18-DEC-18,05679859                        ,10.23,1,WEST   ,50,2018
00015622                        ,812,21-DEC-18,00306754                        ,6.69,1,CENTRAL,50,2018
00015921                        ,3819,23-DEC-18,00099323                        ,2.79,1,SOUTH  ,51,2018
00016202                        ,3614,24-DEC-18,01202464                        ,3,1,SOUTH  ,51,2018
00016963                        ,642,31-DEC-18,01088284                        ,6,2,CENTRAL,52,2018
00016963                        ,642,31-DEC-18,00386599                        ,5.98,2,CENTRAL,52,2018
00018502                        ,10,14-JAN-19,00353356                        ,2,2,EAST   ,2,2019
00018502                        ,10,14-JAN-19,00559529                        ,1.49,1,EAST   ,2,2019
00018514                        ,4406,14-JAN-19,01454115                        ,1.52,1,CENTRAL,2,2019
00018880                        ,3274,16-JAN-19,00009210                        ,.89,1,SOUTH  ,2,2019
00019026                        ,10,17-JAN-19,06441562                        ,2.99,1,EAST   ,2,2019
00019563                        ,2454,22-JAN-19,00277476                        ,3.99,1,CENTRAL,3,2019
00021501                        ,2319,07-FEB-19,00491760                        ,2.29,1,WEST   ,5,2019
00021836                        ,594,10-FEB-19,00096606                        ,1.29,1,CENTRAL,6,2019
00022001                        ,10,11-FEB-19,06849170                        ,1.67,1,EAST   ,6,2019
00022001                        ,10,11-FEB-19,03974211                        ,2.59,1,EAST   ,6,2019
00022001                        ,10,11-FEB-19,06441562                        ,2.99,1,EAST   ,6,2019
00022018                        ,916,11-FEB-19,06394742                        ,2,2,WEST   ,6,2019
00022089                        ,4851,11-FEB-19,03946891                        ,2.98,2,CENTRAL,6,2019
00023971                        ,3614,28-FEB-19,00072569                        ,1,1,SOUTH  ,8,2019
00024141                        ,3274,01-MAR-19,02803673                        ,4.69,1,SOUTH  ,8,2019
00024627                        ,160,05-MAR-19,05782891                        ,2.5,1,EAST   ,9,2019
00024657                        ,4406,05-MAR-19,00084707                        ,.99,1,CENTRAL,9,2019
00024657                        ,4406,05-MAR-19,04188315                        ,9.99,1,CENTRAL,9,2019
00024840                        ,2822,07-MAR-19,00110595                        ,1.5,1,WEST   ,9,2019
00025063                        ,10,09-MAR-19,05748202                        ,2.69,1,EAST   ,9,2019
00025700                        ,4753,15-MAR-19,00973210                        ,.99,1,WEST   ,10,2019
00026418                        ,4753,20-MAR-19,06745316                        ,1.19,1,WEST   ,11,2019
00026811                        ,160,23-MAR-19,05681210                        ,2.29,1,EAST   ,11,2019
00027251                        ,4587,28-MAR-19,01351140                        ,6,1,EAST   ,12,2019
00027516                        ,2319,31-MAR-19,01388007                        ,10.47,1,WEST   ,13,2019
00027806                        ,10,01-APR-19,00248794                        ,14.49,1,EAST   ,13,2019
00030270                        ,594,21-APR-19,05449243                        ,7.98,2,CENTRAL,16,2019
00030858                        ,10,26-APR-19,00442202                        ,1.49,1,EAST   ,16,2019
00030858                        ,10,26-APR-19,06928692                        ,1.99,1,EAST   ,16,2019
00031252                        ,160,29-APR-19,00098121                        ,1.99,1,EAST   ,17,2019
00032508                        ,3819,09-MAY-19,05118802                        ,0,1,SOUTH  ,18,2019
00032577                        ,1661,09-MAY-19,03297514                        ,14.99,1,EAST   ,18,2019
00032767                        ,3274,11-MAY-19,05742468                        ,6.99,1,SOUTH  ,18,2019
00033004                        ,4851,12-MAY-19,00142609                        ,1.59,1,CENTRAL,19,2019
00034308                        ,4851,24-MAY-19,06290111                        ,5.59,1,CENTRAL,20,2019
00034393                        ,2319,24-MAY-19,05760992                        ,7.99,1,WEST   ,20,2019
00034804                        ,2454,27-MAY-19,00099552                        ,1,1,CENTRAL,21,2019
00034916                        ,3819,27-MAY-19,00084759                        ,1.59,1,SOUTH  ,21,2019
00035845                        ,642,03-JUN-19,00100779                        ,3.95,5,CENTRAL,22,2019
00036453                        ,10,09-JUN-19,05376353                        ,2.69,1,EAST   ,23,2019
00036986                        ,3988,15-JUN-19,04302164                        ,1.49,1,CENTRAL,23,2019
00037322                        ,642,16-JUN-19,00097221                        ,2.69,1,CENTRAL,24,2019
00037501                        ,4851,18-JUN-19,05053521                        ,2.95,5,CENTRAL,24,2019
00037808                        ,1661,21-JUN-19,01454060                        ,1.69,1,EAST   ,24,2019
00038034                        ,2319,21-JUN-19,00380555                        ,3.14,1,WEST   ,24,2019
00038611                        ,10,27-JUN-19,01113260                        ,10.99,1,EAST   ,25,2019
