PRODUCT_NUM,DEPARTMENT,COMMODITY,BRAND_TY,NATURAL_ORGANIC_FLAG
00091659,NON-FOOD                  ,PET                       ,PRIVATE ,N
00095646,NON-FOOD                  ,PET                       ,PRIVATE ,N
00100007,NON-FOOD                  ,PET                       ,PRIVATE ,N
00100584,NON-FOOD                  ,PET                       ,PRIVATE ,N
04805232,NON-FOOD                  ,PET                       ,PRIVATE ,N
06543391,NON-FOOD                  ,PET                       ,PRIVATE ,N
06712997,NON-FOOD                  ,PET                       ,PRIVATE ,N
00105611,NON-FOOD                  ,PET                       ,NATIONAL,N
00206318,NON-FOOD                  ,PET                       ,NATIONAL,N
00206424,NON-FOOD                  ,PET                       ,NATIONAL,N
00249575,NON-FOOD                  ,PET                       ,NATIONAL,N
00306370,NON-FOOD                  ,PET                       ,NATIONAL,N
00306437,NON-FOOD                  ,PET                       ,NATIONAL,N
00306530,NON-FOOD                  ,PET                       ,NATIONAL,N
00306714,NON-FOOD                  ,PET                       ,NATIONAL,N
00306754,NON-FOOD                  ,PET                       ,NATIONAL,N
00351979,NON-FOOD                  ,PET                       ,NATIONAL,N
00766915,NON-FOOD                  ,PET                       ,NATIONAL,N
00766986,NON-FOOD                  ,PET                       ,NATIONAL,N
00767008,NON-FOOD                  ,PET                       ,NATIONAL,N
00767019,NON-FOOD                  ,PET                       ,NATIONAL,N
00767145,NON-FOOD                  ,PET                       ,NATIONAL,N
00767376,NON-FOOD                  ,PET                       ,NATIONAL,N
00767388,NON-FOOD                  ,PET                       ,NATIONAL,N
00767428,NON-FOOD                  ,PET                       ,NATIONAL,N
00767439,NON-FOOD                  ,PET                       ,NATIONAL,N
00767520,NON-FOOD                  ,PET                       ,NATIONAL,N
00767593,NON-FOOD                  ,PET                       ,NATIONAL,N
00839849,NON-FOOD                  ,PET                       ,NATIONAL,N
00889112,NON-FOOD                  ,PET                       ,NATIONAL,N
03672245,NON-FOOD                  ,PET                       ,NATIONAL,N
03673232,NON-FOOD                  ,PET                       ,NATIONAL,N
04113461,NON-FOOD                  ,PET                       ,NATIONAL,N
04282458,NON-FOOD                  ,PET                       ,NATIONAL,N
04619339,NON-FOOD                  ,PET                       ,NATIONAL,N
04619340,NON-FOOD                  ,PET                       ,NATIONAL,N
04950380,NON-FOOD                  ,PET                       ,NATIONAL,N
04950917,NON-FOOD                  ,PET                       ,NATIONAL,N
04959310,NON-FOOD                  ,PET                       ,NATIONAL,N
05283371,NON-FOOD                  ,PET                       ,NATIONAL,N
05444899,NON-FOOD                  ,PET                       ,NATIONAL,N
05559304,NON-FOOD                  ,PET                       ,NATIONAL,N
05741056,NON-FOOD                  ,PET                       ,NATIONAL,N
05927319,NON-FOOD                  ,PET                       ,NATIONAL,N
05990304,NON-FOOD                  ,PET                       ,NATIONAL,N
06098181,NON-FOOD                  ,PET                       ,NATIONAL,N
06218360,NON-FOOD                  ,PET                       ,NATIONAL,N
06218373,NON-FOOD                  ,PET                       ,NATIONAL,N
06438231,NON-FOOD                  ,PET                       ,NATIONAL,N
06438359,NON-FOOD                  ,PET                       ,NATIONAL,N
06664018,NON-FOOD                  ,PET                       ,NATIONAL,N
06664082,NON-FOOD                  ,PET                       ,NATIONAL,N
06785649,NON-FOOD                  ,PET                       ,NATIONAL,N
06815962,NON-FOOD                  ,PET                       ,NATIONAL,N
00908089,NON-FOOD                  ,AUTO                      ,NATIONAL,N
00630144,FOOD                      ,BABY                      ,PRIVATE ,N
05377156,FOOD                      ,BABY                      ,PRIVATE ,N
00167522,FOOD                      ,BABY                      ,NATIONAL,N
